ln_wage,educ,servseg,educ_servseg,exp,exp_sq,fem,cont,reg_i,age
8.5754621,0,0,0,0,0,0,0,NMM,15
8.160518247,0,0,0,27,729,1,0,NMM,36
8.757783656,0,0,0,14,196,0,0,NMM,25
8.29404964,0,0,0,4,16,0,0,NMM,19
8.779557456,0,0,0,11,121,0,0,NMM,26
8.839276691,0,0,0,15,225,0,0,NMM,30
8.006367568,0,0,0,0,0,0,0,NMM,18
8.160518247,0,0,0,23,529,0,0,RRD,34
8.342839804,0,0,0,13,169,0,0,RRD,28
8.29404964,0,0,0,2,4,1,0,RRD,17
8.548691858,0,0,0,14,196,0,1,RRD,29
8.006367568,0,0,0,12,144,0,0,RRD,27
8.517193191,0,0,0,15,225,0,0,RRD,30
8.517193191,0,0,0,15,225,0,0,RRD,30
8.411832676,0,0,0,33,1089,1,0,RRD,48
8.411832676,0,0,0,10,100,1,0,RRD,25
8.29404964,0,0,0,10,100,1,0,RRD,25
8.411832676,0,0,0,7,49,1,0,RRD,22
8.411832676,0,0,0,8,64,1,0,RRD,23
8.160518247,0,0,0,10,100,0,0,RRD,28
7.696212639,0,0,0,36,1296,0,0,RRD,51
7.863266724,0,0,0,38,1444,0,0,RRD,53
7.824046011,0,0,0,28,784,0,0,RRD,43
7.60090246,0,0,0,27,729,1,0,RRD,42
8.476371197,0,0,0,2,4,0,0,RRD,17
7.824046011,0,0,0,23,529,0,0,RRD,32
8.29404964,0,0,0,19,361,0,0,RRD,34
7.60090246,0,0,0,28,784,0,0,RRD,37
8.29404964,0,0,0,30,900,0,0,RRD,41
8.29404964,0,0,0,23,529,0,0,RRD,34
8.29404964,0,0,0,21,441,1,0,RRD,32
8.006367568,0,0,0,6,36,0,0,RRD,21
8.006367568,0,0,0,8,64,0,0,RRD,19
8.006367568,0,0,0,7,49,0,0,RRD,22
8.006367568,0,0,0,2,4,0,0,RRD,17
8.006367568,0,0,0,31,961,0,0,RRD,42
8.006367568,0,0,0,4,16,0,0,RRD,19
8.517193191,0,0,0,15,225,0,0,RRD,30
8.29404964,0,0,0,12,144,1,0,RRD,27
8.29404964,0,0,0,30,900,0,0,RRD,39
8.29404964,0,0,0,27,729,0,0,RRD,38
8.160518247,0,0,0,15,225,0,0,RRD,30
8.517193191,0,0,0,16,256,0,0,RRD,34
8.517193191,0,0,0,18,324,0,0,RRD,29
8.29404964,0,0,0,34,1156,0,0,RRD,43
8.006367568,0,0,0,22,484,1,0,RRD,37
8.160518247,0,0,0,27,729,0,0,RRD,38
8.006367568,0,0,0,53,2809,0,1,NMM,71
8.006367568,0,0,0,53,2809,0,1,NMM,71
8.101677747,0,0,0,39,1521,1,1,NMM,54
8.101677747,0,0,0,39,1521,1,1,NMM,54
8.517193191,0,0,0,29,841,1,0,NMM,47
8.517193191,0,0,0,30,900,1,0,NMM,48
8.699514748,0,0,0,35,1225,1,1,NMM,50
8.699514748,0,0,0,35,1225,1,1,NMM,50
8.006367568,0,0,0,4,16,0,0,NMM,22
8.517193191,0,0,0,51,2601,0,0,NMM,66
7.313220387,0,0,0,46,2116,0,0,NMM,61
8.665613197,0,0,0,28,784,0,0,NMM,43
8.433811582,0,0,0,9,81,0,1,NMM,27
8.433811582,0,0,0,9,81,0,1,NMM,27
8.006367568,0,0,0,37,1369,1,0,NMM,52
8.006367568,0,0,0,42,1764,1,0,NMM,57
8.29404964,0,0,0,0,0,0,0,NMM,18
8.853665428,0,0,0,7,49,0,1,NMM,27
8.29404964,1,0,0,5,25,1,1,NMM,27
8.699514748,0,0,0,19,361,0,0,NMM,30
8.853665428,0,0,0,20,400,0,0,NMM,31
7.696212639,0,1,0,17,289,0,0,NMM,32
8.517193191,0,0,0,18,324,1,0,NMM,33
5.966146739,0,0,0,48,2304,0,1,NMM,63
8.006367568,0,0,0,52,2704,1,1,NMM,63
7.824046011,0,0,0,48,2304,1,1,NMM,63
8.612503371,0,0,0,30,900,0,0,NMM,48
8.517193191,0,0,0,26,676,1,0,NMM,44
8.411832676,0,0,0,7,49,0,1,NMM,25
8.160518247,0,0,0,34,1156,1,0,NMM,49
8.779557456,0,0,0,10,100,0,0,NMM,28
8.517193191,0,0,0,16,256,1,1,NMM,31
8.824677891,0,0,0,17,289,1,1,NMM,35
8.476371197,0,0,0,11,121,1,1,NMM,31
8.070906089,0,0,0,20,400,1,0,NMM,35
8.070906089,0,0,0,23,529,1,0,NMM,38
