ln_wage,educ,servseg,educ_servseg,exp,exp_sq,fem,cont,reg_i,age
7.170119543,0,0,0,11,121,0,1,Coast,29
8.006367568,0,0,0,12,144,1,0,Coast,30
8.29404964,0,0,0,2,4,0,0,Coast,17
8.517193191,0,0,0,19,361,0,0,Coast,30
8.448914351,1,1,1,12,144,1,1,Coast,34
8.476371197,0,0,0,12,144,0,0,Coast,30
8.476371197,0,0,0,15,225,0,0,Coast,26
8.070906089,0,0,0,6,36,1,1,Coast,26
7.937374696,0,0,0,0,0,0,0,Coast,18
8.29404964,0,0,0,16,256,1,0,Coast,31
8.433811582,0,0,0,11,121,0,1,Coast,29
7.972466016,1,0,0,5,25,0,1,Coast,27
8.160518247,0,0,0,6,36,1,1,Coast,24
8.517193191,0,0,0,27,729,0,0,Coast,33
8.594154233,1,1,1,13,169,1,1,Coast,35
8.476371197,0,0,0,15,225,1,1,Coast,33
8.853665428,0,0,0,5,25,1,0,Coast,23
8.342839804,0,0,0,5,25,0,0,Coast,23
8.29404964,0,0,0,4,16,0,0,Coast,22
8.29404964,0,0,0,24,576,0,0,Coast,35
8.29404964,0,0,0,23,529,0,0,Coast,34
8.006367568,0,0,0,23,529,0,0,Coast,34
8.536995819,0,0,0,16,256,0,0,Coast,31
8.29404964,0,0,0,19,361,1,1,Coast,34
8.517193191,0,0,0,4,16,0,0,Coast,19
7.495541944,0,0,0,2,4,0,0,Coast,20
8.29404964,1,1,1,7,49,1,1,Coast,29
8.29404964,1,1,1,5,25,1,1,Coast,27
8.853665428,0,0,0,12,144,1,1,Coast,27
8.517193191,0,0,0,8,64,0,1,Coast,23
8.070906089,0,0,0,1,1,0,0,Coast,19
8.455317788,0,0,0,1,1,1,1,Coast,19
7.60090246,0,0,0,5,25,0,0,Coast,20
8.411832676,0,0,0,9,81,0,0,Coast,24
7.60090246,0,0,0,29,841,0,0,Coast,35
8.29404964,0,0,0,10,100,0,0,Coast,21
8.006367568,0,0,0,12,144,1,1,Coast,23
8.29404964,0,0,0,10,100,1,1,Coast,21
7.60090246,0,0,0,9,81,0,1,Coast,27
8.29404964,0,0,0,10,100,1,1,Coast,21
8.160518247,0,0,0,2,4,0,1,Coast,17
8.006367568,0,0,0,9,81,1,1,Coast,20
8.517193191,0,0,0,6,36,1,1,Coast,24
8.29404964,0,0,0,2,4,0,0,Coast,17
8.006367568,0,0,0,10,100,1,0,Coast,25
8.242756346,0,0,0,8,64,1,1,Coast,26
8.612503371,0,0,0,13,169,1,1,Coast,31
8.987196821,0,0,0,9,81,0,1,Coast,27
8.987196821,0,0,0,9,81,0,1,Coast,27
8.411832676,0,0,0,13,169,1,0,Coast,31
8.411832676,0,0,0,13,169,1,0,Coast,31
8.517193191,0,0,0,7,49,0,0,Coast,25
8.517193191,0,0,0,8,64,0,0,Coast,26
8.699514748,0,0,0,14,196,0,1,Coast,32
8.517193191,0,0,0,15,225,1,1,Coast,30
8.006367568,0,0,0,19,361,1,0,Coast,30
8.29404964,0,0,0,10,100,1,0,Coast,25
8.29404964,0,0,0,11,121,1,0,Coast,26
8.342839804,0,0,0,2,4,0,1,Coast,20
8.612503371,0,0,0,23,529,0,0,Coast,34
8.070906089,0,0,0,4,16,0,0,Coast,19
7.649692624,0,0,0,19,361,1,1,Coast,25
7.60090246,0,0,0,17,289,1,0,Coast,26
7.649692624,0,0,0,8,64,1,1,Coast,19
7.649692624,0,0,0,17,289,1,1,Coast,26
7.696212639,0,0,0,21,441,1,0,Coast,27
7.740664402,0,0,0,24,576,1,1,Coast,35
7.824046011,0,0,0,13,169,0,1,Coast,24
7.901007052,0,0,0,13,169,0,0,Coast,24
8.29404964,1,1,1,5,25,0,1,Coast,27
8.03915739,0,0,0,18,324,1,1,Coast,33
8.342839804,0,0,0,13,169,0,0,Coast,28
7.937374696,0,0,0,21,441,0,0,Coast,32
7.937374696,0,0,0,22,484,0,0,Coast,33
8.935903526,1,1,1,11,121,1,1,Highlands,33
8.9226583,0,0,0,19,361,0,0,Highlands,30
8.160518247,0,0,0,10,100,0,0,Highlands,21
8.160518247,0,0,0,14,196,1,0,Highlands,25
8.517193191,0,0,0,15,225,0,0,Highlands,30
7.60090246,0,0,0,24,576,0,0,Highlands,35
7.43838353,0,0,0,26,676,0,0,Highlands,32
7.170119543,0,0,0,24,576,1,0,Highlands,30
7.696212639,0,0,0,14,196,0,0,Highlands,20
8.29404964,0,1,0,11,121,1,1,Highlands,32
7.824046011,0,0,0,21,441,1,0,Highlands,32
8.411832676,0,0,0,24,576,1,1,Highlands,35
8.411832676,0,0,0,16,256,0,1,Highlands,31
8.411832676,0,0,0,16,256,1,1,Highlands,27
8.853665428,0,0,0,23,529,1,1,Highlands,34
8.699514748,0,0,0,22,484,1,0,Highlands,33
8.517193191,0,0,0,23,529,1,0,Highlands,34
8.476371197,0,0,0,8,64,1,0,Highlands,23
8.411832676,0,0,0,14,196,1,0,Highlands,29
8.411832676,0,0,0,14,196,0,0,Highlands,25
8.160518247,0,0,0,14,196,0,0,Highlands,25
8.006367568,0,0,0,0,0,0,0,Highlands,15
8.699514748,0,0,0,11,121,1,0,Highlands,29
8.536995819,0,0,0,4,16,0,1,Highlands,25
8.411832676,0,0,0,13,169,1,0,Highlands,31
8.160518247,0,0,0,9,81,1,0,SE,24
8.29404964,0,0,0,9,81,1,0,SE,24
8.612503371,1,1,1,7,49,1,1,SE,29
8.411832676,1,1,1,4,16,0,1,SE,26
8.29404964,0,0,0,18,324,0,0,SE,33
8.517193191,0,0,0,19,361,0,0,SE,34
8.699514748,0,0,0,6,36,0,1,SE,21
8.517193191,0,0,0,7,49,0,1,SE,22
8.160518247,0,0,0,22,484,0,0,SE,33
8.9226583,0,0,0,25,625,0,0,SE,31
8.517193191,0,0,0,22,484,0,0,SE,31
8.131530711,0,0,0,18,324,1,0,SE,27
8.29404964,0,0,0,16,256,1,0,SE,27
8.29404964,0,0,0,20,400,1,0,SE,35
8.006367568,0,0,0,3,9,1,0,SE,21
8.699514748,0,0,0,4,16,0,0,SE,19
8.29404964,0,0,0,17,289,0,0,SE,28
8.29404964,0,0,0,17,289,0,0,SE,28
8.517193191,0,0,0,21,441,0,0,SE,32
8.517193191,0,0,0,22,484,0,0,SE,33
8.160518247,0,0,0,19,361,1,0,SE,34
8.242756346,0,0,0,20,400,1,0,SE,31
8.006367568,0,0,0,14,196,1,0,SE,25
8.006367568,0,0,0,14,196,1,0,SE,25
8.29404964,0,0,0,6,36,0,0,SE,17
8.29404964,0,0,0,7,49,0,0,SE,18
8.29404964,0,0,0,17,289,1,0,SE,35
8.29404964,0,0,0,20,400,0,0,SE,35
8.29404964,0,0,0,8,64,0,0,SE,23
8.29404964,0,0,0,9,81,0,0,SE,24
7.98616486,0,0,0,13,169,0,0,SE,24
8.188689124,0,0,0,15,225,0,0,SE,26
7.313220387,0,0,0,8,64,0,0,SE,17
8.699514748,0,0,0,29,841,0,0,SE,35
8.517193191,0,0,0,29,841,0,0,SE,35
8.699514748,0,0,0,10,100,0,0,SE,19
8.29404964,0,0,0,10,100,0,0,SE,19
8.411832676,0,0,0,8,64,0,0,SE,17
8.699514748,0,0,0,18,324,1,0,SE,27
8.699514748,0,0,0,18,324,1,0,SE,27
8.699514748,0,0,0,13,169,0,0,SE,22
8.699514748,0,0,0,13,169,0,0,SE,22
8.517193191,0,0,0,6,36,1,0,SE,15
8.517193191,0,0,0,6,36,1,0,SE,15
8.699514748,0,0,0,13,169,0,0,SE,22
8.411832676,0,0,0,13,169,0,0,SE,22
8.699514748,0,0,0,7,49,1,0,SE,16
8.411832676,0,0,0,8,64,1,0,SE,17
8.699514748,0,0,0,13,169,0,0,SE,28
8.699514748,0,0,0,16,256,0,0,SE,27
8.699514748,0,0,0,16,256,0,0,SE,31
8.455317788,0,0,0,1,1,0,0,SE,16
8.455317788,0,0,0,2,4,0,0,SE,17
8.455317788,0,0,0,0,0,0,0,SE,15
8.455317788,0,0,0,1,1,0,0,SE,16
8.517193191,0,0,0,20,400,0,0,SE,31
8.779557456,0,0,0,14,196,1,1,SE,29
8.455317788,0,0,0,1,1,0,0,SE,16
8.455317788,0,0,0,1,1,0,0,SE,16
8.612503371,0,0,0,6,36,1,1,SE,26
