ln_wage,educ,servseg,educ_servseg,exp,exp_sq,fem,cont,reg_i,age
8.160518247,0,0,0,32,1024,1,1,Coast,43
9.305650552,0,1,0,17,289,0,1,Coast,37
8.160518247,0,0,0,35,1225,0,1,Coast,46
8.342839804,0,0,0,26,676,0,0,Coast,41
7.313220387,0,0,0,39,1521,0,1,Coast,54
8.455317788,0,0,0,19,361,0,0,Coast,37
8.476371197,0,0,0,31,961,0,0,Coast,40
8.006367568,0,0,0,33,1089,1,0,Coast,42
8.188689124,0,0,0,31,961,1,0,Coast,37
8.29404964,0,0,0,37,1369,0,1,Coast,55
8.342839804,0,0,0,35,1225,0,1,Coast,50
8.699514748,0,0,0,20,400,1,1,Coast,38
8.699514748,0,0,0,29,841,1,1,Coast,44
8.006367568,0,0,0,32,1024,1,1,Coast,43
8.160518247,0,0,0,31,961,1,0,Coast,49
8.29404964,0,0,0,26,676,1,1,Coast,44
8.699514748,0,0,0,28,784,1,1,Coast,39
8.648221454,0,1,0,19,361,1,1,Coast,39
8.411832676,0,0,0,29,841,0,1,Coast,47
8.517193191,0,0,0,30,900,1,1,Coast,48
8.006367568,0,0,0,28,784,1,0,Coast,39
8.283999304,0,0,0,38,1444,0,0,Coast,49
8.987196821,0,0,0,38,1444,0,0,Coast,44
9.392661929,0,0,0,39,1521,0,0,Coast,45
7.60090246,0,0,0,44,1936,1,0,Coast,55
7.60090246,0,0,0,32,1024,0,0,Coast,38
8.699514748,0,0,0,28,784,0,1,Coast,39
8.517193191,0,0,0,30,900,0,0,Coast,39
8.699514748,0,0,0,31,961,1,1,Coast,42
8.29404964,0,0,0,34,1156,1,0,Coast,43
8.006367568,0,0,0,43,1849,1,1,Coast,54
8.699514748,0,0,0,28,784,1,0,Coast,39
8.987196821,0,0,0,28,784,1,0,Coast,39
8.006367568,0,0,0,29,841,1,0,Coast,38
8.242756346,0,0,0,18,324,1,0,Coast,36
8.29404964,0,0,0,18,324,1,0,Coast,36
8.853665428,1,0,0,22,484,1,0,Coast,44
8.006367568,0,0,0,30,900,1,0,Coast,36
9.61580548,0,0,0,20,400,0,1,Coast,38
8.9226583,0,0,0,21,441,0,1,Coast,39
8.29404964,0,0,0,33,1089,0,0,Coast,48
8.853665428,0,0,0,22,484,1,1,Coast,37
8.006367568,0,0,0,21,441,1,1,Coast,36
8.29404964,0,1,0,24,576,1,1,Coast,42
8.160518247,0,0,0,34,1156,1,0,Coast,49
8.070906089,0,0,0,31,961,1,0,Coast,46
7.718685495,0,0,0,49,2401,1,0,Coast,55
7.718685495,0,0,0,49,2401,1,0,Coast,55
8.594154233,0,0,0,25,625,1,0,Highlands,40
7.090076836,0,0,0,49,2401,0,0,Highlands,55
8.853665428,0,0,0,29,841,1,1,Highlands,47
7.60090246,0,0,0,28,784,0,0,Highlands,46
8.853665428,0,0,0,34,1156,1,0,Highlands,45
8.699514748,0,0,0,30,900,1,0,Highlands,41
8.517193191,0,0,0,30,900,1,0,Highlands,41
8.29404964,0,0,0,30,900,0,0,Highlands,41
8.29404964,0,0,0,33,1089,0,0,Highlands,44
8.517193191,0,0,0,24,576,0,0,Highlands,39
7.60090246,0,0,0,24,576,1,0,Highlands,39
8.853665428,0,0,0,26,676,0,0,Highlands,37
8.699514748,0,0,0,26,676,0,0,Highlands,37
8.411832676,0,0,0,28,784,1,0,Highlands,37
8.411832676,0,0,0,34,1156,1,0,Highlands,45
